*ELEMENT, TYPE=C3D4
1, 1, 5090, 5248, 5005
5152, 2, 2, 1657, 1522, 1061
1133, 3, 3, 5170, 5238, 5300
5253, 4, 4, 10092, 10227, 9926
9866, 5, 5, 4203, 4206, 4292
4355, 6, 6, 7332, 7177, 7194
7266, 7, 7, 9413, 9551, 9362
9694, 8, 8, 9118, 8762, 8985
8978, 9, 9, 8216, 8432, 8316
8183, 10, 10, 2304, 2305, 2167
2514, 11, 11, 6329, 6609, 6318
6485, 12, 12, 4223, 4098, 4393
4265, 13, 13, 84, 674, 707
140, 14, 14, 6153, 6010, 5986
5909, 15, 15, 5093, 5052, 4838
4913, 16, 16, 8605, 8272, 8451
8558, 17, 17, 11040, 11042, 10690
11014, 18, 18, 674, 47, 84
584, 19, 19, 1317, 1442, 1662
1444, 20, 20, 10851, 10763, 10375
10349, 21, 21, 8595, 8399, 8335
8749, 22, 22, 2348, 2474, 2497
2760, 23, 23, 4999, 4735, 4820
4876, 24, 24, 2311, 2556, 2056
2203, 25, 25, 34, 37, 599
578, 26, 26, 10064, 9831, 9708
9806, 27, 27, 3712, 3713, 3986
3842, 28, 28, 3420, 3463, 3671
3338, 29, 29, 9937, 9814, 9558
9928, 30, 30, 2766, 3116, 2794
2996, 31, 31, 1472, 1380, 11187
11188, 32, 32, 1122, 535, 1126
1213, 33, 33, 8274, 8372, 8407
8543, 34, 34, 1600, 1714, 1652
1136, 35, 35, 4954, 4723, 4715
4727, 36, 36, 5763, 5868, 6027
5839, 37, 37, 10992, 10979, 10561
10577, 38, 38, 4285, 3949, 4089
4188, 39, 39, 301, 354, 904
327, 40, 40, 4725, 4631, 4568
4677, 41, 41, 6052, 5918, 5794
6000, 42, 42, 4855, 5088, 4843
5113, 43, 43, 5674, 5603, 5559
5558, 44, 44, 6907, 6613, 6547
6712, 45, 45, 4630, 4489, 4571
4568, 46, 46, 4995, 5063, 5070
5142, 47, 47, 4404, 4568, 4367
4438, 48, 48, 4827, 4856, 4739
4880, 49, 49, 3485, 3106, 3143
3345, 50, 50, 5261, 5563, 5373
5408, 51, 51, 6338, 6214, 6170
6332, 52, 52, 3071, 3228, 3046
3347, 53, 53, 2671, 2260, 2228
2558, 54, 54, 3108, 3274, 3287
3395, 55, 55, 672, 550, 607
1244, 56, 56, 3380, 3498, 3160
3307, 57, 57, 5836, 5835, 5773
5700, 58, 58, 7476, 7238, 7626
7467, 59, 59, 5199, 5346, 5285
5133, 60, 60, 2901, 3151, 3271
3035, 61, 61, 4485, 4567, 4219
4363, 62, 62, 3807, 3775, 3540
3768, 63, 63, 1226, 615, 1293
1203, 64, 64, 2253, 2167, 2148
2383, 65, 65, 8005, 7791, 8177
7874, 66, 66, 9185, 8958, 9194
9048, 67, 67, 2108, 2395, 1948
2353, 68, 68, 5293, 5372, 5380
5200, 69, 69, 10417, 10089, 10112
10538, 70, 70, 5104, 5103, 5257
5198, 71, 71, 1485, 1461, 826
978, 72, 72, 1814, 1584, 1603
1478, 73, 73, 4966, 4855, 4810
4754, 74, 74, 1873, 1802, 1392
1439, 75, 75, 2933, 2818, 3232
3019, 76, 76, 2804, 2888, 2692
2981, 77, 77, 2334, 2367, 2256
2685, 78, 78, 4342, 4551, 4365
4393, 79, 79, 834, 681, 1323
